arr_teff_coolstar,arr_t0roche_coolstar_Earth,arr_t0roche_coolstar_Earth_lower,arr_t0roche_coolstar_Earth_upper,arr_t0roche_coolstar_SuperEarth,arr_t0roche_coolstar_SuperEarth_lower,arr_t0roche_coolstar_SuperEarth_upper
4.132064128256512959e+03,2.746139797661423472e+03,2.728794805354846176e+03,2.772274743997851147e+03,2.857567786137973144e+03,2.839518999507265107e+03,2.884763189957915984e+03
4.137875751503006541e+03,2.752792820699536151e+03,2.735467390207813423e+03,2.778857438987927708e+03,2.864490763741056526e+03,2.846462332669818807e+03,2.891612985866206600e+03
4.143687374749499213e+03,2.759444332780689820e+03,2.742137825640544634e+03,2.785438712457985275e+03,2.871412169078248553e+03,2.853403429196775960e+03,2.898461302574560705e+03
4.149498997995991886e+03,2.766094290581419045e+03,2.748806072694173054e+03,2.792018527456054926e+03,2.878331957068183783e+03,2.860342248548465250e+03,2.905308101631638692e+03
4.155310621242484558e+03,2.772742650717641482e+03,2.755472092313048051e+03,2.798596846959838331e+03,2.885250082566416495e+03,2.867278750084505646e+03,2.912153344512916192e+03
4.161122244488978140e+03,2.779389369743529187e+03,2.762135845344015252e+03,2.805173633876023359e+03,2.892166500364251533e+03,2.874212893063056072e+03,2.918996992619974662e+03
4.166933867735470812e+03,2.786034404150399496e+03,2.768797292535715314e+03,2.811748851039616511e+03,2.899081165187586976e+03,2.881144636640084627e+03,2.925839007279805628e+03
4.172745490981964394e+03,2.792677710365604071e+03,2.775456394537878623e+03,2.818322461213249426e+03,2.905994031695761805e+03,2.888073939868635989e+03,2.932679349744088995e+03
4.178557114228457067e+03,2.799319244751417955e+03,2.782113111900604963e+03,2.824894427086507221e+03,2.912905054480395393e+03,2.895000761698081533e+03,2.939517981188495014e+03
4.184368737474949739e+03,2.805958963603949542e+03,2.788767405073661394e+03,2.831464711275250011e+03,2.919814188064259270e+03,2.901925060973391282e+03,2.946354862711973510e+03
4.190180360721442412e+03,2.812596823152021898e+03,2.795419234405761927e+03,2.838033276320924415e+03,2.926721386900106609e+03,2.908846796434376301e+03,2.953189955336047660e+03
4.195991983967935994e+03,2.819232779556075002e+03,2.802068560143841296e+03,2.844600084689881896e+03,2.933626605369532626e+03,2.915765926714945635e+03,2.960023220004092764e+03
4.201803607214428666e+03,2.825866788907083901e+03,2.808715342432355556e+03,2.851165098772703459e+03,2.940529797781851357e+03,2.922682410342365074e+03,2.966854617580643662e+03
4.207615230460922248e+03,2.832498807225446399e+03,2.815359541312536749e+03,2.857728280883505249e+03,2.947430918372932410e+03,2.929596205736491811e+03,2.973684108850663961e+03
4.213426853707414921e+03,2.839128790459895299e+03,2.822001116721684866e+03,2.864289593259259618e+03,2.954329921304076379e+03,2.936507271209032751e+03,2.980511654518845717e+03
4.219238476953907593e+03,2.845756694486408833e+03,2.828640028492428883e+03,2.870848998059107089e+03,2.961226760660872969e+03,2.943415564962775534e+03,2.987337215208889120e+03
4.225050100200400266e+03,2.852382475107118353e+03,2.835276236352007345e+03,2.877406457363669233e+03,2.968121390452073229e+03,2.950321045090844109e+03,2.994160751462792177e+03
4.230861723446893848e+03,2.859006088049222399e+03,2.841909699921527135e+03,2.883961933174356545e+03,2.975013764608451766e+03,2.957223669575919757e+03,3.000982223740125391e+03
4.236673346693386520e+03,2.865627488963890755e+03,2.848540378715219049e+03,2.890515387412682230e+03,2.981903836981669428e+03,2.964123396289474840e+03,3.007801592417318261e+03
4.242484969939880102e+03,2.872246633425190339e+03,2.855168232139719294e+03,2.897066781919571440e+03,2.988791561343156900e+03,2.971020182991020647e+03,3.014618817786948512e+03
4.248296593186372775e+03,2.878863476928988803e+03,2.861793219493305514e+03,2.903616078454655053e+03,2.995676891382972372e+03,2.977913987327311588e+03,3.021433860056994945e+03
4.254108216432865447e+03,2.885477974891872236e+03,2.868415299965163740e+03,2.910163238695598011e+03,3.002559780708674680e+03,2.984804766831585312e+03,3.028246679350148042e+03
4.259919839679359029e+03,2.892090082650069689e+03,2.875034432634634868e+03,2.916708224237378090e+03,3.009440182844206447e+03,2.991692478922776445e+03,3.035057235703053720e+03
4.265731462925851702e+03,2.898699755458353138e+03,2.881650576470453416e+03,2.923250996591603780e+03,3.016318051228746299e+03,2.998577080904726245e+03,3.041865489065606653e+03
4.271543086172344374e+03,2.905306948488968374e+03,2.888263690330007648e+03,2.929791517185804878e+03,3.023193339215599735e+03,3.005458529965410889e+03,3.048671399300212215e+03
4.277354709418837956e+03,2.911911616830547700e+03,2.894873732958559685e+03,2.936329747362739909e+03,3.030066000071064991e+03,3.012336783176129302e+03,3.055474926181063438e+03
4.283166332665330629e+03,2.918513715487018999e+03,2.901480662988491986e+03,2.942865648379673985e+03,3.036935986973298895e+03,3.019211797490725530e+03,3.062276029393391582e+03
4.288977955911823301e+03,2.925113199376536159e+03,2.908084438938543371e+03,2.949399181407692595e+03,3.043803253011204561e+03,3.026083529744782027e+03,3.069074668532751275e+03
4.294789579158316883e+03,2.931710023330384956e+03,2.914685019213023224e+03,2.955930307530980826e+03,3.050667751183290875e+03,3.032951936654814290e+03,3.075870803104271090e+03
4.300601202404809555e+03,2.938304142091893937e+03,2.921282362101040690e+03,2.962458987746111688e+03,3.057529434396542911e+03,3.039816974817459595e+03,3.082664392521910941e+03
4.306412825651303137e+03,2.944895510315367574e+03,2.927876425775727967e+03,2.968985182961336704e+03,3.064388255465306884e+03,3.046678600708674367e+03,3.089455396107728575e+03
4.312224448897795810e+03,2.951484082564988057e+03,2.934467168293452687e+03,2.975508853995872869e+03,3.071244167110151920e+03,3.053536770682911992e+03,3.096243773091131516e+03
4.318036072144288482e+03,2.958069813313734358e+03,2.941054547593025291e+03,2.982029961579177780e+03,3.078097121956740921e+03,3.060391440972297460e+03,3.103029482608128092e+03
4.323847695390781155e+03,2.964652656942283556e+03,2.947638521494904580e+03,2.988548466350231593e+03,3.084947072534692325e+03,3.067242567685804715e+03,3.109812483700574376e+03
4.329659318637274737e+03,2.971232567737945828e+03,2.954219047700407828e+03,2.995064328856814882e+03,3.091793971276466891e+03,3.074090106808429937e+03,3.116592735315431582e+03
4.335470941883767409e+03,2.977809499893545308e+03,2.960796083790897683e+03,3.001577509554779226e+03,3.098637770516206729e+03,3.080934014200346155e+03,3.123370196303997545e+03
